id,Period,Data_value,Series_title_2
1,2004.03,44.2,Credit card usage as a proportion of total ECT value
2,2005.03,45.3,Credit card usage as a proportion of total ECT value
3,2006.03,45.6,Credit card usage as a proportion of total ECT value
4,2007.03,45.8,Credit card usage as a proportion of total ECT value
5,2008.03,45.5,Credit card usage as a proportion of total ECT value
6,2009.03,44.8,Credit card usage as a proportion of total ECT value
7,2010.03,43.1,Credit card usage as a proportion of total ECT value
8,2011.03,42.4,Credit card usage as a proportion of total ECT value
9,2012.03,42.2,Credit card usage as a proportion of total ECT value
10,2013.03,42.1,Credit card usage as a proportion of total ECT value
11,2014.03,43.1,Credit card usage as a proportion of total ECT value
12,2015.03,43.7,Credit card usage as a proportion of total ECT value
13,2016.03,45.3,Credit card usage as a proportion of total ECT value
14,2017.03,48.2,Credit card usage as a proportion of total ECT value
15,2018.03,52.5,Credit card usage as a proportion of total ECT value
16,2019.03,55,Credit card usage as a proportion of total ECT value
17,2020.03,56.1,Credit card usage as a proportion of total ECT value
18,2021.03,61.7,Credit card usage as a proportion of total ECT value
19,2022.03,65.1,Credit card usage as a proportion of total ECT value
20,2004.03,55.8,Debit card usage as a proportion of total ECT value
21,2005.03,54.7,Debit card usage as a proportion of total ECT value
22,2006.03,54.4,Debit card usage as a proportion of total ECT value
23,2007.03,54.2,Debit card usage as a proportion of total ECT value
24,2008.03,54.5,Debit card usage as a proportion of total ECT value
25,2009.03,55.2,Debit card usage as a proportion of total ECT value
26,2010.03,56.9,Debit card usage as a proportion of total ECT value
27,2011.03,57.6,Debit card usage as a proportion of total ECT value
28,2012.03,57.8,Debit card usage as a proportion of total ECT value
29,2013.03,57.9,Debit card usage as a proportion of total ECT value
30,2014.03,56.9,Debit card usage as a proportion of total ECT value
31,2015.03,56.3,Debit card usage as a proportion of total ECT value
32,2016.03,54.7,Debit card usage as a proportion of total ECT value
33,2017.03,51.8,Debit card usage as a proportion of total ECT value
34,2018.03,47.5,Debit card usage as a proportion of total ECT value
35,2019.03,45,Debit card usage as a proportion of total ECT value
36,2020.03,43.9,Debit card usage as a proportion of total ECT value
37,2021.03,38.3,Debit card usage as a proportion of total ECT value
38,2022.03,34.9,Debit card usage as a proportion of total ECT value
39,2002.10,42.7,Credit card usage as a proportion of total ECT value
40,2002.11,44.8,Credit card usage as a proportion of total ECT value
41,2002.12,45.4,Credit card usage as a proportion of total ECT value
42,2003.01,44.8,Credit card usage as a proportion of total ECT value
43,2003.02,45.9,Credit card usage as a proportion of total ECT value
44,2003.03,45.1,Credit card usage as a proportion of total ECT value
45,2003.04,43.4,Credit card usage as a proportion of total ECT value
46,2003.05,42.5,Credit card usage as a proportion of total ECT value
47,2003.06,42.4,Credit card usage as a proportion of total ECT value
48,2003.07,43,Credit card usage as a proportion of total ECT value
49,2003.08,42.5,Credit card usage as a proportion of total ECT value
50,2003.09,43.1,Credit card usage as a proportion of total ECT value
51,2003.10,43.4,Credit card usage as a proportion of total ECT value
52,2003.11,45.1,Credit card usage as a proportion of total ECT value
53,2003.12,45.9,Credit card usage as a proportion of total ECT value
54,2004.01,45.3,Credit card usage as a proportion of total ECT value
55,2004.02,46.3,Credit card usage as a proportion of total ECT value
56,2004.03,46.5,Credit card usage as a proportion of total ECT value
57,2004.04,44.7,Credit card usage as a proportion of total ECT value
58,2004.05,44.2,Credit card usage as a proportion of total ECT value
59,2004.06,44,Credit card usage as a proportion of total ECT value
60,2004.07,44.2,Credit card usage as a proportion of total ECT value
61,2004.08,44.5,Credit card usage as a proportion of total ECT value
62,2004.09,44.4,Credit card usage as a proportion of total ECT value
63,2004.10,45,Credit card usage as a proportion of total ECT value
64,2004.11,46.6,Credit card usage as a proportion of total ECT value
65,2004.12,46.2,Credit card usage as a proportion of total ECT value
66,2005.01,45.8,Credit card usage as a proportion of total ECT value
67,2005.02,47.3,Credit card usage as a proportion of total ECT value
68,2005.03,46.7,Credit card usage as a proportion of total ECT value
69,2005.04,45.1,Credit card usage as a proportion of total ECT value
70,2005.05,44.5,Credit card usage as a proportion of total ECT value
71,2005.06,44.2,Credit card usage as a proportion of total ECT value
72,2005.07,44.8,Credit card usage as a proportion of total ECT value
73,2005.08,44.8,Credit card usage as a proportion of total ECT value
74,2005.09,44.7,Credit card usage as a proportion of total ECT value
75,2005.10,45.1,Credit card usage as a proportion of total ECT value
76,2005.11,46.4,Credit card usage as a proportion of total ECT value
77,2005.12,46.2,Credit card usage as a proportion of total ECT value
78,2006.01,46.2,Credit card usage as a proportion of total ECT value
79,2006.02,47.6,Credit card usage as a proportion of total ECT value
80,2006.03,47.3,Credit card usage as a proportion of total ECT value
81,2006.04,45.3,Credit card usage as a proportion of total ECT value
82,2006.05,45.4,Credit card usage as a proportion of total ECT value
83,2006.06,44.6,Credit card usage as a proportion of total ECT value
84,2006.07,45.1,Credit card usage as a proportion of total ECT value
85,2006.08,45.1,Credit card usage as a proportion of total ECT value
86,2006.09,44.8,Credit card usage as a proportion of total ECT value
87,2006.10,45.6,Credit card usage as a proportion of total ECT value
88,2006.11,46.7,Credit card usage as a proportion of total ECT value
89,2006.12,46.3,Credit card usage as a proportion of total ECT value
90,2007.01,46.2,Credit card usage as a proportion of total ECT value
91,2007.02,47.2,Credit card usage as a proportion of total ECT value
92,2007.03,46.9,Credit card usage as a proportion of total ECT value
93,2007.04,44.9,Credit card usage as a proportion of total ECT value
94,2007.05,44.5,Credit card usage as a proportion of total ECT value
95,2007.06,44.1,Credit card usage as a proportion of total ECT value
96,2007.07,44.9,Credit card usage as a proportion of total ECT value
97,2007.08,44.4,Credit card usage as a proportion of total ECT value
98,2007.09,44.7,Credit card usage as a proportion of total ECT value
99,2007.10,45.3,Credit card usage as a proportion of total ECT value
100,2007.11,46.7,Credit card usage as a proportion of total ECT value
101,2007.12,46.3,Credit card usage as a proportion of total ECT value
102,2008.01,46.1,Credit card usage as a proportion of total ECT value
103,2008.02,47.2,Credit card usage as a proportion of total ECT value
104,2008.03,46.6,Credit card usage as a proportion of total ECT value
105,2008.04,45.5,Credit card usage as a proportion of total ECT value
106,2008.05,44.6,Credit card usage as a proportion of total ECT value
107,2008.06,44.8,Credit card usage as a proportion of total ECT value
108,2008.07,45.1,Credit card usage as a proportion of total ECT value
109,2008.08,44.3,Credit card usage as a proportion of total ECT value
110,2008.09,44.8,Credit card usage as a proportion of total ECT value
111,2008.10,44.2,Credit card usage as a proportion of total ECT value
112,2008.11,44.9,Credit card usage as a proportion of total ECT value
113,2008.12,44.9,Credit card usage as a proportion of total ECT value
114,2009.01,43.9,Credit card usage as a proportion of total ECT value
115,2009.02,45.3,Credit card usage as a proportion of total ECT value
116,2009.03,45,Credit card usage as a proportion of total ECT value
117,2009.04,42.9,Credit card usage as a proportion of total ECT value
118,2009.05,42,Credit card usage as a proportion of total ECT value
119,2009.06,42.4,Credit card usage as a proportion of total ECT value
120,2009.07,42.6,Credit card usage as a proportion of total ECT value
121,2009.08,42.1,Credit card usage as a proportion of total ECT value
122,2009.09,42.6,Credit card usage as a proportion of total ECT value
123,2009.10,42.6,Credit card usage as a proportion of total ECT value
124,2009.11,44.1,Credit card usage as a proportion of total ECT value
125,2009.12,44,Credit card usage as a proportion of total ECT value
126,2010.01,43.1,Credit card usage as a proportion of total ECT value
127,2010.02,44.3,Credit card usage as a proportion of total ECT value
128,2010.03,44.2,Credit card usage as a proportion of total ECT value
129,2010.04,42.3,Credit card usage as a proportion of total ECT value
130,2010.05,41.9,Credit card usage as a proportion of total ECT value
131,2010.06,41.9,Credit card usage as a proportion of total ECT value
132,2010.07,41.6,Credit card usage as a proportion of total ECT value
133,2010.08,41.7,Credit card usage as a proportion of total ECT value
134,2010.09,42.1,Credit card usage as a proportion of total ECT value
135,2010.10,41.3,Credit card usage as a proportion of total ECT value
136,2010.11,43.4,Credit card usage as a proportion of total ECT value
137,2010.12,43.1,Credit card usage as a proportion of total ECT value
138,2011.01,42.6,Credit card usage as a proportion of total ECT value
139,2011.02,43.8,Credit card usage as a proportion of total ECT value
140,2011.03,42.8,Credit card usage as a proportion of total ECT value
141,2011.04,41.4,Credit card usage as a proportion of total ECT value
142,2011.05,41.4,Credit card usage as a proportion of total ECT value
143,2011.06,40.9,Credit card usage as a proportion of total ECT value
